timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/06/06 13:35:12.647, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 31, 0 %, 0 %, 16384 MiB, 16145 MiB, 1 MiB
2025/06/06 13:35:15.664, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 32, 0 %, 0 %, 16384 MiB, 14871 MiB, 1274 MiB
2025/06/06 13:35:18.680, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 32, 0 %, 0 %, 16384 MiB, 14627 MiB, 1518 MiB
2025/06/06 13:35:21.696, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 37, 99 %, 22 %, 16384 MiB, 13743 MiB, 2402 MiB
2025/06/06 13:35:24.713, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 33, 0 %, 0 %, 16384 MiB, 13705 MiB, 2440 MiB
2025/06/06 13:35:27.729, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 32, 40 %, 2 %, 16384 MiB, 13649 MiB, 2496 MiB
2025/06/06 13:35:30.746, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 38, 96 %, 28 %, 16384 MiB, 12455 MiB, 3690 MiB
2025/06/06 13:35:33.762, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 39, 96 %, 28 %, 16384 MiB, 12455 MiB, 3690 MiB
2025/06/06 13:35:36.778, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 40, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:39.793, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 41, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:42.809, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 42, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:45.825, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 42, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:48.840, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 43, 96 %, 30 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:51.856, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 44, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:54.872, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 45, 96 %, 27 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:35:57.887, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 45, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:00.903, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 46, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:03.919, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 46, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:06.935, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 47, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:09.963, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 47, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:12.979, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 48, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:15.994, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 48, 96 %, 27 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:19.010, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 49, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 13:36:22.026, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 49, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
